คะแนนอาจารย์ที่ปรึกษาภาคเรียนที่ 1 ปีการศึกษา 2560

อาจารย์ที่ปรึกษา,ดร. บัณฑิต ฐานะโสภณ

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
การสอดส่องผู้ใช้สื่อสังคมออนไลน์และการวิเคราะห์อารมณ์ของผู้ให้บริโภคที่มีต่อผู้ให้บริการเครือข่ายโทรศัพท์บนทวิตเตอร์,Social Monitoring and Sentiment Analysis of Telecommunication Service Provider on Twitter
ระบบจัดตารางสอบวิชาโครงงาน,Project 1 and 2 exam schedule management system
ผู้ช่วยส่วนตัวอิจฉริยะในการจัดการกิจกรรมของอาจารย์,Chatbot for Professor Activity Management
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. ลภัส ประดิษฐ์ทัศนีย์

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
การจัดเตรียมระบบสนับสนุนการทดลองด้านการประมวลผลแบบกลุ่มเมฆบนโอเพ่นสแต็ก,Cloud Computing Laboratory Environment on OpenStack
การปรับปรุงระบบค้นหาเส้นทางบนเครือข่ายIOTเพื่อการตรวจสอบการทำงานของระบบปรับอากาศ,Improving routing process in IOT networks for maintaining Air Condition System
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. สิริอร วิทยากร

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
โปรแกรมตรวจจับวัตถุและข้อความบนป้านโฆษณา,Text and Objects Detection on Billboards
การพัฒนาเออาร์เพื่อประยุกต์ใช้ในการออกแบบจัดวางเครื่องเรือนภายในห้อง,AR development for room design
ระบบปรับสีภาพตามผู้ใช้กำหนด,User-Guided Image Colorization
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. สุภวรรณ ทัศนประเสริฐ

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
เว็บแอพพลิเคชั่นสนับสนุนการปรับแต่งสีภาพ,Web application for editing color
เกมส์โต้ตอบแบบปฏิสัมพันธ์บนกำแพงด้วยคิเนคต์,Interactive Wall Games Using Kinect
ระบบวิเคราะห์วงสวิงกอล์ฟ,Golf Swing Analysis System
เว็ปแอพพลิเคชั่นสำหรับการค้นหาผู้ร่วมเล่นกอล์ฟ,Web Application for Golf playing Partner Finder
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ผศ. ดร. กันต์พงษ์ วรรัตน์ปัญญา

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
การวิเคราะห์ข้อมูลแบบเรียนรู้เพิ่มพูนสำหรับการจำแนกหมวดหมู่หนังสือ,Analytical Incremental Learning for Book Classification
การรู้จำป้ายจราจรเพื่อช่วยในการขับขี่,Traffic Sign Recognition for Driving Assistance
การตรวจจับและรู้จำข้อความ,Text Detection and Recognition
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ผศ. ดร. กิติ์สุชาต พสุภา

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
ระบบสกัดข้อมูลจากเอกสารแบบอัตโนมัติ,Automated Document Extraction System
การวิเคราะห์พฤติกรรมการมองของมนุษย์บนเว็บเบราว์เซอร์ในสมาร์ตโฟน,Human gaze behavior analysis on web browser in smartphone
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ผศ. ดร. ธนิศา นุ่มนนท์

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
ระบบการสร้างสรรค์เพลงร่วมกันสำหรับผู้เริ่มต้น,Collaborative Music Creation System for Beginners
ระบบบันทึกการเข้าเรียนและการประเมินการสอน,Student Attendance Record and Teaching Evaluation System
ระบบสั่งอาหารแบบออนไลน์สำหรับร้านอาหาร,Online Food Ordering System for Restanrants
ระบบจัดการค่ายและการจัดการงานต่างๆ,Camp and Event Management System
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ผศ. ดร. ธีรพงศ์ ลีลานุภาพ

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
สิ่งแวดล้อมเพื่อการพัฒนาซอฟต์แวร์แบบทางไกลสำหรับการเขียนโปรแกรมแบบจับคู่ พร้อมด้วยการวิเคราะห์คุณภาพและการตรวจทานรหัสคำสั่ง,An Enhanced Remote Software Development Environment for Pair-Programming with Code Review and Quality Analysis
โมบายแอปพลิเคชันพร้อมการเพิ่มคำนิยามจากบริบทสำหรับเขียนเล่าประสบการณ์การท่องเที่ยวแบบร่วมกัน,A Mobile Application with Contextual Labeling for Co-Authoring Travel Experiences
แอปพลิเคชันเว็บและมือถือสำหรับติดตามและแจ้งเตือนเด็กที่ถูกลืมในรถตู้โรงเรียนอนุบาลโดยใช้เซ็นเซอร์ไอโอที,Web and Mobile Applications for Tracking and Notification of Forgotten Children in a Kindergarten Van Using Multiple IoT-Based Sensors
แอปพลิเคชันมือถือร่วมสร้างสรรค์ของกลุ่มคนสำหรับร้องขอความช่วยเหลือฉุกเฉิน,A Crowd-Based Mobile Application for Requesting Emergency Assistance
ออกแบบและพัฒนาสถาปัตยกรรมแบบกระจายศูนย์เพื่อจัดการควบคุมการเข้าถึงข้อมูลสุขภาพสำหรับเครือโรงพยาบาลโดยใช้บล็อคเชนส่วนบุคคล,Design and Implement a Decentralized Architecture of Access Control Manager to Health Records for a Hospital Group Using Private Blockchain
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ผศ. ดร. บุญประเสริฐ สุรักษ์รัตนสกุล

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การพัฒนาโครงงานตามวัตถุประสงค์,การปฏิบัติได้ตรงตามแผนที่วางไว้,การเลือกทฤษฏีและเครื่องมือ,การเข้าพบอาจารย์ที่ปรึกษา,การปรับปรุงแก้ไขรายงาน,คุณภาพของรายงาน,คุณภาพของโครงงาน
ระบบซื้อขายลิขสิทธิ์ผลงานการออกแบบตัวละคร,Trading System Copyright Character Design Works
ระบบจำลองฟิสิกส์เพื่อการศึกษา,Physic simulation for study
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ผศ. ดร. ปานวิทย์ ธุวะนุติ

